epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.6289,1.78733,3.39108,1.70008,0.53877,0.23927,0.17968,0.08914,1.5591,6.21729,1.5197,0.0001429,0.0001429,0.0001429
2,11.5759,1.44163,1.82766,1.46513,0.46222,0.32734,0.35631,0.2099,1.42222,3.85476,1.4663,0.000298109,0.000298109,0.000298109
3,15.428,1.37209,1.56836,1.4089,0.40937,0.45241,0.39355,0.24039,1.33633,3.392,1.39731,0.000451244,0.000451244,0.000451244
4,19.1119,1.32436,1.50489,1.38691,0.56506,0.4108,0.45892,0.2814,1.36921,2.04098,1.42148,0.000602303,0.000602303,0.000602303
5,22.7848,1.36332,1.38312,1.3993,0.39358,0.4461,0.40203,0.22491,1.46185,2.12794,1.50359,0.000751288,0.000751288,0.000751288
6,26.2258,1.34752,1.35789,1.36767,0.44809,0.43277,0.41029,0.23515,1.47157,1.64295,1.47757,0.000898198,0.000898198,0.000898198
7,29.5139,1.39558,1.36446,1.40605,0.47848,0.37111,0.37539,0.19862,1.63464,1.78852,1.59143,0.00104303,0.00104303,0.00104303
8,32.6878,1.35891,1.35035,1.38275,0.54282,0.4298,0.44672,0.24275,1.52932,1.6816,1.56741,0.00118579,0.00118579,0.00118579
9,35.9323,1.41922,1.36091,1.40118,0.41195,0.48664,0.40439,0.2193,1.55583,1.73869,1.60031,0.00132648,0.00132648,0.00132648
10,39.1499,1.366,1.3157,1.38315,0.48934,0.45199,0.42903,0.23057,1.4886,1.73393,1.5465,0.00134412,0.00134412,0.00134412
11,42.3095,1.33306,1.25609,1.373,0.43063,0.49517,0.3939,0.21574,1.41859,2.01779,1.48955,0.00133469,0.00133469,0.00133469
12,45.6257,1.32997,1.26069,1.32735,0.51516,0.55415,0.49644,0.29063,1.39994,1.59585,1.47736,0.00132525,0.00132525,0.00132525
13,48.763,1.27711,1.1834,1.32504,0.43011,0.50503,0.4326,0.24019,1.44844,1.73474,1.54592,0.00131582,0.00131582,0.00131582
14,51.9982,1.28583,1.14362,1.3304,0.59104,0.54269,0.53701,0.30376,1.4195,1.60248,1.52371,0.00130639,0.00130639,0.00130639
15,55.2097,1.28945,1.11244,1.31333,0.49647,0.53598,0.5068,0.29534,1.31166,1.89554,1.38853,0.00129696,0.00129696,0.00129696
16,58.4431,1.30653,1.15222,1.32884,0.61009,0.61688,0.61328,0.35913,1.27998,1.47369,1.35015,0.00128753,0.00128753,0.00128753
17,61.6307,1.25278,1.07298,1.30107,0.54397,0.61981,0.5913,0.35689,1.30418,1.63443,1.3551,0.0012781,0.0012781,0.0012781
18,64.7869,1.22613,1.03666,1.27612,0.66878,0.59706,0.6518,0.41968,1.18416,1.17405,1.26928,0.00126867,0.00126867,0.00126867
19,68.0952,1.25803,1.06763,1.30555,0.64507,0.61301,0.68904,0.44239,1.18366,1.08669,1.27668,0.00125923,0.00125923,0.00125923
20,71.5939,1.21982,1.05472,1.29346,0.69368,0.61615,0.66491,0.42246,1.16229,1.17168,1.26621,0.0012498,0.0012498,0.0012498
21,74.7638,1.20722,1.04824,1.26351,0.7165,0.70587,0.7698,0.49371,1.16288,1.01296,1.26834,0.00124037,0.00124037,0.00124037
22,78.0253,1.20074,1.01498,1.29012,0.63944,0.7308,0.76072,0.48596,1.18783,1.12801,1.31258,0.00123094,0.00123094,0.00123094
23,81.2011,1.15816,0.96435,1.23716,0.71133,0.65496,0.70374,0.44828,1.2207,1.05581,1.30912,0.00122151,0.00122151,0.00122151
24,84.3194,1.17596,0.97733,1.24122,0.75057,0.71515,0.80178,0.53117,1.08853,0.86774,1.20374,0.00121208,0.00121208,0.00121208
25,87.4768,1.16825,0.97369,1.24539,0.73036,0.75157,0.79811,0.54918,1.0813,0.85611,1.20241,0.00120265,0.00120265,0.00120265
26,90.782,1.16679,0.9393,1.22972,0.81015,0.72838,0.81293,0.53842,1.10315,0.88438,1.20722,0.00119322,0.00119322,0.00119322
27,94.0532,1.12303,0.92266,1.21721,0.77619,0.72247,0.79174,0.53069,1.05414,0.9011,1.18261,0.00118378,0.00118378,0.00118378
28,97.3405,1.11702,0.93117,1.21714,0.78368,0.71701,0.82041,0.55291,1.07383,0.87327,1.19235,0.00117435,0.00117435,0.00117435
29,100.564,1.16276,0.92436,1.24776,0.77444,0.71071,0.80617,0.53119,1.11354,0.9258,1.21083,0.00116492,0.00116492,0.00116492
30,103.805,1.11546,0.90908,1.24019,0.72979,0.74444,0.79018,0.53426,1.0281,0.91527,1.16892,0.00115549,0.00115549,0.00115549
31,107.167,1.0844,0.87715,1.21044,0.63276,0.6834,0.68567,0.4749,1.01295,0.97892,1.15193,0.00114606,0.00114606,0.00114606
32,110.35,1.105,0.85446,1.19939,0.75372,0.74878,0.80877,0.53977,1.02364,0.88759,1.1609,0.00113663,0.00113663,0.00113663
33,113.51,1.09198,0.89108,1.20599,0.7832,0.74453,0.83747,0.55896,1.02878,0.84525,1.15184,0.0011272,0.0011272,0.0011272
34,116.692,1.05175,0.84419,1.18436,0.77773,0.7717,0.85269,0.58069,0.99152,0.82448,1.12158,0.00111776,0.00111776,0.00111776
35,121.386,1.05509,0.83719,1.19812,0.76297,0.7739,0.8466,0.58883,0.98264,0.84863,1.12318,0.00110833,0.00110833,0.00110833
36,126.401,1.07424,0.86378,1.20082,0.77155,0.76703,0.83635,0.57763,0.98069,0.93914,1.12369,0.0010989,0.0010989,0.0010989
37,130.114,1.07134,0.82762,1.18208,0.82822,0.78165,0.87364,0.6263,0.92255,0.76004,1.08176,0.00108947,0.00108947,0.00108947
38,134.993,1.03807,0.79532,1.14382,0.83879,0.79681,0.8847,0.64536,0.93087,0.71404,1.07861,0.00108004,0.00108004,0.00108004
39,139.853,1.07463,0.79747,1.19042,0.85864,0.75844,0.86841,0.63929,0.92445,0.73676,1.07791,0.00107061,0.00107061,0.00107061
40,144.334,1.03201,0.77635,1.15846,0.85994,0.76625,0.88643,0.63394,0.89973,0.7047,1.06661,0.00106118,0.00106118,0.00106118
41,148.805,1.01015,0.7559,1.15795,0.84475,0.81144,0.87935,0.61059,0.92221,0.67421,1.06931,0.00105174,0.00105174,0.00105174
42,153.365,0.99304,0.76072,1.1557,0.83546,0.8734,0.91499,0.66846,0.87405,0.62017,1.04827,0.00104231,0.00104231,0.00104231
43,158.972,0.9453,0.73804,1.13442,0.84832,0.77281,0.87055,0.61165,0.90065,0.76484,1.05789,0.00103288,0.00103288,0.00103288
44,163.292,1.01984,0.76994,1.14676,0.83397,0.85149,0.91271,0.65013,0.87993,0.71334,1.05275,0.00102345,0.00102345,0.00102345
45,167.655,1.01428,0.7591,1.15707,0.91756,0.86622,0.93829,0.68619,0.83038,0.62705,1.01776,0.00101402,0.00101402,0.00101402
46,171.228,0.9675,0.74901,1.13381,0.92288,0.88011,0.95008,0.69323,0.81879,0.5899,1.01603,0.00100459,0.00100459,0.00100459
47,174.879,0.97858,0.73761,1.13139,0.88863,0.85494,0.93372,0.68039,0.83418,0.63488,1.01958,0.000995156,0.000995156,0.000995156
48,178.273,0.94543,0.70581,1.09309,0.8936,0.81359,0.9061,0.65446,0.82413,0.59611,1.00294,0.000985724,0.000985724,0.000985724
49,181.523,0.95155,0.69266,1.10726,0.86969,0.82503,0.91483,0.67894,0.80541,0.56966,0.99906,0.000976293,0.000976293,0.000976293
50,184.97,0.9345,0.69532,1.1035,0.88248,0.85707,0.92735,0.68851,0.83658,0.58875,1.01822,0.000966861,0.000966861,0.000966861
51,188.285,0.91973,0.68512,1.09625,0.90193,0.83468,0.9222,0.695,0.81385,0.60538,1.0081,0.00095743,0.00095743,0.00095743
52,191.514,0.93616,0.68048,1.10681,0.90703,0.8272,0.92276,0.69465,0.8054,0.62703,1.01161,0.000947999,0.000947999,0.000947999
53,194.786,0.90635,0.68918,1.0928,0.92008,0.87237,0.94122,0.71936,0.78924,0.57248,1.00498,0.000938567,0.000938567,0.000938567
