epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.6606,1.58848,3.5087,1.63793,0.00634,0.42417,0.0257,0.01124,1.58175,3.56517,1.62814,5.716e-05,5.716e-05,5.716e-05
2,115.062,1.43621,3.32556,1.51625,0.00806,0.50146,0.12763,0.0665,1.25928,3.44692,1.35199,0.000127337,0.000127337,0.000127337
3,166.841,1.48222,2.94605,1.42713,0.00936,0.5691,0.14881,0.083,1.28274,3.3356,1.31414,0.000196099,0.000196099,0.000196099
4,227.995,1.45587,2.48907,1.47151,0.00958,0.57463,0.11808,0.05878,1.44119,3.29138,1.35846,0.000263446,0.000263446,0.000263446
5,284.439,1.49416,2.21731,1.43958,0.01244,0.69448,0.18108,0.09537,1.43333,3.11326,1.36984,0.000329379,0.000329379,0.000329379
6,340.879,1.41718,2.06245,1.39088,0.89563,0.08181,0.2371,0.13126,1.40728,2.98704,1.34916,0.000393897,0.000393897,0.000393897
7,394.32,1.35227,1.96981,1.38147,0.45113,0.0723,0.19185,0.10683,1.50431,2.94839,1.40461,0.000457,0.000457,0.000457
8,445.71,1.32319,1.83003,1.35045,0.57817,0.17788,0.23832,0.1418,1.49226,2.76339,1.3937,0.000518688,0.000518688,0.000518688
9,498.175,1.23144,1.68305,1.29517,0.57837,0.23621,0.30751,0.18745,1.57741,2.6132,1.43685,0.000578962,0.000578962,0.000578962
10,552.861,1.27286,1.74844,1.3633,0.57102,0.26374,0.33434,0.19979,1.47696,2.61221,1.39013,0.000637821,0.000637821,0.000637821
11,609.064,1.24916,1.70145,1.33032,0.69662,0.25229,0.34864,0.20876,1.4266,2.62305,1.36144,0.000695266,0.000695266,0.000695266
12,660.979,1.27064,1.66535,1.32759,0.6928,0.30225,0.4308,0.26067,1.39443,2.42578,1.35498,0.000751295,0.000751295,0.000751295
13,714.687,1.29294,1.63399,1.32676,0.61712,0.37561,0.46961,0.29219,1.34859,2.27307,1.37941,0.00080591,0.00080591,0.00080591
14,779.22,1.16701,1.48858,1.28336,0.65494,0.41108,0.48494,0.3113,1.33941,2.2552,1.34348,0.000859111,0.000859111,0.000859111
15,839.248,1.23578,1.46866,1.30182,0.68222,0.40955,0.49183,0.32144,1.32238,2.25191,1.32635,0.000910896,0.000910896,0.000910896
16,900.72,1.2419,1.5505,1.3163,0.65388,0.38706,0.47288,0.29217,1.33605,2.22063,1.33173,0.000961267,0.000961267,0.000961267
17,954.698,1.16999,1.51936,1.24785,0.50107,0.37602,0.40325,0.2463,1.43584,2.44734,1.41544,0.00101022,0.00101022,0.00101022
18,1007.2,1.26687,1.47706,1.26715,0.75365,0.33027,0.45547,0.28109,1.47356,2.29649,1.44935,0.00105776,0.00105776,0.00105776
19,1064.04,1.29925,1.44219,1.29748,0.59579,0.41162,0.48123,0.28313,1.5488,2.21001,1.49236,0.00110389,0.00110389,0.00110389
20,1118.57,1.10476,1.44774,1.27714,0.59919,0.37186,0.45369,0.27846,1.34182,2.23806,1.35373,0.0011486,0.0011486,0.0011486
21,1171.26,1.1764,1.41524,1.29912,0.60499,0.4098,0.47386,0.28568,1.3832,2.25541,1.36986,0.00114606,0.00114606,0.00114606
22,1223.79,1.09137,1.38039,1.21786,0.62869,0.43396,0.51117,0.32187,1.32632,2.11464,1.34353,0.00113191,0.00113191,0.00113191
23,1277.47,1.15486,1.32676,1.24956,0.6993,0.49175,0.55655,0.34075,1.32112,1.92356,1.35102,0.00111776,0.00111776,0.00111776
24,1336.83,1.18317,1.28666,1.22124,0.5849,0.54378,0.5433,0.31556,1.29826,1.98977,1.37038,0.00110362,0.00110362,0.00110362
25,1389.39,1.09279,1.24957,1.19979,0.68277,0.47211,0.54378,0.33656,1.19759,2.01441,1.28275,0.00108947,0.00108947,0.00108947
26,1443.13,1.1476,1.23601,1.2095,0.58772,0.47714,0.50074,0.30799,1.23395,2.14146,1.308,0.00107532,0.00107532,0.00107532
27,1498.16,1.0896,1.29579,1.2314,0.60836,0.51508,0.54799,0.35005,1.21866,1.89913,1.32095,0.00106118,0.00106118,0.00106118
28,1551.02,1.08698,1.21114,1.2064,0.70782,0.58608,0.66041,0.4396,1.2047,1.5652,1.25466,0.00104703,0.00104703,0.00104703
29,1604.32,1.26203,1.37117,1.27286,0.68961,0.58561,0.66136,0.43802,1.1896,1.55933,1.2453,0.00103288,0.00103288,0.00103288
30,1658.6,1.18001,1.22521,1.3037,0.73604,0.48558,0.62406,0.38606,1.23908,1.66494,1.27794,0.00101873,0.00101873,0.00101873
31,1713.08,1.16939,1.22359,1.26458,0.68566,0.49438,0.60627,0.36703,1.29559,1.72278,1.30149,0.00100459,0.00100459,0.00100459
32,1769.47,1.10562,1.23896,1.24585,0.53611,0.59026,0.58687,0.3779,1.23619,1.58533,1.25376,0.00099044,0.00099044,0.00099044
33,1823.86,1.0728,1.14271,1.21066,0.58364,0.5691,0.60092,0.37464,1.25974,1.60651,1.24931,0.000976293,0.000976293,0.000976293
34,1877.61,1.08508,1.17203,1.21824,0.65596,0.68051,0.71401,0.45246,1.1831,1.45773,1.19037,0.000962146,0.000962146,0.000962146
35,1934.05,1.04348,1.1576,1.22421,0.80101,0.6974,0.78777,0.51034,1.10632,1.41218,1.1707,0.000947999,0.000947999,0.000947999
36,1988.4,1.01189,1.0484,1.19528,0.8231,0.7454,0.8308,0.58406,0.98623,1.28136,1.14094,0.000933851,0.000933851,0.000933851
37,2040.72,1.00568,1.085,1.18723,0.81674,0.70549,0.85176,0.60289,0.99435,1.25942,1.15387,0.000919704,0.000919704,0.000919704
38,2094.54,0.99181,1.04611,1.15641,0.8434,0.71895,0.85011,0.59659,1.01474,1.18406,1.14685,0.000905557,0.000905557,0.000905557
39,2148.21,1.06563,1.06755,1.17625,0.75763,0.74821,0.82158,0.58499,1.01462,1.15546,1.13442,0.00089141,0.00089141,0.00089141
40,2201.23,1.03418,1.0828,1.15939,0.70713,0.63863,0.74466,0.53654,1.06534,1.22587,1.17433,0.000877263,0.000877263,0.000877263
41,2254.17,1.00435,1.04682,1.13901,0.77011,0.65183,0.7832,0.55214,1.05542,1.24468,1.16396,0.000863116,0.000863116,0.000863116
42,2305.93,0.98224,1.00259,1.13192,0.70065,0.69149,0.74543,0.51851,1.14601,1.36835,1.22152,0.000848969,0.000848969,0.000848969
43,2358.05,1.00948,1.0516,1.12921,0.76759,0.64765,0.78076,0.54982,1.11848,1.32097,1.19507,0.000834822,0.000834822,0.000834822
44,2410.26,0.94304,0.91833,1.1239,0.79595,0.72654,0.82713,0.58795,1.07604,1.33024,1.18502,0.000820675,0.000820675,0.000820675
45,2464.76,0.99344,0.9831,1.13579,0.83127,0.67786,0.82225,0.59099,1.09413,1.32152,1.22808,0.000806528,0.000806528,0.000806528
46,2523.79,0.99679,0.99266,1.14194,0.8432,0.69421,0.81805,0.60271,1.03626,1.24007,1.16995,0.00079238,0.00079238,0.00079238
47,2577.14,0.92159,0.90782,1.10356,0.9338,0.71925,0.85811,0.64427,0.92304,1.0851,1.06674,0.000778233,0.000778233,0.000778233
48,2631.73,0.95226,0.93431,1.13885,0.86724,0.82625,0.91236,0.67273,0.91926,0.99966,1.06648,0.000764086,0.000764086,0.000764086
49,2682.49,1.00627,1.02923,1.16939,0.87103,0.82767,0.91685,0.66733,0.92904,0.98528,1.07983,0.000749939,0.000749939,0.000749939
50,2737.9,0.88896,0.93207,1.09675,0.88233,0.80857,0.90879,0.67261,0.88869,0.99393,1.06029,0.000735792,0.000735792,0.000735792
51,2789.79,0.89571,0.88125,1.05921,0.81227,0.84599,0.90358,0.68404,0.83566,0.99169,1.03666,0.000721645,0.000721645,0.000721645
52,2841.76,0.905,0.94529,1.10523,0.8939,0.83874,0.91219,0.69993,0.80338,0.93867,1.00544,0.000707498,0.000707498,0.000707498
53,2893.39,0.87481,0.85668,1.06943,0.94344,0.8439,0.92642,0.7074,0.79345,0.9043,0.9927,0.000693351,0.000693351,0.000693351
54,2946.38,0.90293,0.88123,1.10355,0.96017,0.83798,0.94537,0.71483,0.80127,0.87921,0.99057,0.000679204,0.000679204,0.000679204
55,2999.77,0.99727,1.03816,1.20156,0.95278,0.87178,0.95222,0.73342,0.78911,0.86456,0.98442,0.000665057,0.000665057,0.000665057
56,3051.03,0.91025,0.91385,1.08596,0.93429,0.88839,0.95384,0.72444,0.77347,0.82106,0.98828,0.000650909,0.000650909,0.000650909
57,3105.9,0.8872,0.86611,1.07849,0.93247,0.87246,0.95123,0.73039,0.74757,0.80419,0.97661,0.000636762,0.000636762,0.000636762
58,3158.02,0.8467,0.92276,1.07453,0.96279,0.87083,0.95084,0.74011,0.7118,0.77279,0.96192,0.000622615,0.000622615,0.000622615
59,3207.45,0.83256,0.83261,1.05428,0.96077,0.86371,0.95993,0.74105,0.70672,0.75011,0.96311,0.000608468,0.000608468,0.000608468
60,3257.1,0.84608,0.81087,1.05549,0.94509,0.84991,0.97168,0.76866,0.6989,0.78072,0.96286,0.000594321,0.000594321,0.000594321
61,3301.59,0.83024,0.90862,1.08101,0.94247,0.87028,0.97246,0.77941,0.67478,0.75649,0.95354,0.000580174,0.000580174,0.000580174
62,3350.3,0.84936,0.80173,1.05006,0.9201,0.91137,0.97145,0.77205,0.67745,0.74509,0.95149,0.000566027,0.000566027,0.000566027
63,3395.75,0.8345,0.84459,1.08375,0.94354,0.91075,0.97149,0.77174,0.69399,0.76931,0.94909,0.00055188,0.00055188,0.00055188
64,3443.49,0.82516,0.8151,1.06474,0.94004,0.92978,0.97247,0.77816,0.69922,0.74847,0.9458,0.000537733,0.000537733,0.000537733
65,3490.93,0.81411,0.82012,1.07676,0.96835,0.88799,0.97468,0.78991,0.68316,0.72836,0.94174,0.000523586,0.000523586,0.000523586
66,3536.85,0.81627,0.77586,1.07502,0.90104,0.93161,0.96803,0.79329,0.68269,0.73065,0.94038,0.000509438,0.000509438,0.000509438
67,3580.57,0.79823,0.80878,1.05541,0.90263,0.93219,0.96563,0.78206,0.71684,0.74832,0.95306,0.000495291,0.000495291,0.000495291
68,3626.32,0.76702,0.77755,1.01021,0.96904,0.88978,0.97124,0.77392,0.74668,0.75964,0.96318,0.000481144,0.000481144,0.000481144
69,3672.06,0.78261,0.78754,1.04286,0.96684,0.90598,0.97179,0.77591,0.71098,0.73365,0.93953,0.000466997,0.000466997,0.000466997
70,3716.61,0.77542,0.76238,1.03956,0.95074,0.92762,0.97249,0.79313,0.70477,0.73107,0.92818,0.00045285,0.00045285,0.00045285
71,3761.98,0.75834,0.72944,1.03992,0.94694,0.93628,0.97727,0.79867,0.69854,0.72794,0.92277,0.000438703,0.000438703,0.000438703
72,3809.81,0.83335,0.77991,1.04947,0.90668,0.95613,0.96598,0.7911,0.6715,0.70992,0.91405,0.000424556,0.000424556,0.000424556
73,3858.51,0.77464,0.83085,1.07546,0.93133,0.93248,0.96719,0.79086,0.65656,0.69034,0.90938,0.000410409,0.000410409,0.000410409
74,3908.46,0.76048,0.72956,1.03554,0.96898,0.93419,0.98346,0.79865,0.64935,0.66745,0.9093,0.000396262,0.000396262,0.000396262
75,3952.4,0.74886,0.75585,1.01229,0.97545,0.93259,0.98288,0.80094,0.64764,0.64378,0.909,0.000382115,0.000382115,0.000382115
76,3996.72,0.78871,0.739,1.01551,0.98736,0.91712,0.98053,0.815,0.63734,0.60594,0.91075,0.000367967,0.000367967,0.000367967
77,4040.95,0.79393,0.71384,1.02386,0.96557,0.94197,0.98735,0.81443,0.62226,0.59547,0.90466,0.00035382,0.00035382,0.00035382
78,4084.83,0.75798,0.68497,1.00188,0.97042,0.93399,0.98534,0.82373,0.59875,0.58663,0.89315,0.000339673,0.000339673,0.000339673
79,4128.85,0.74906,0.68841,1.02722,0.96372,0.94166,0.98324,0.82512,0.58127,0.58434,0.88417,0.000325526,0.000325526,0.000325526
80,4172.14,0.77542,0.70298,1.02961,0.95926,0.94342,0.982,0.82466,0.55434,0.58876,0.87671,0.000311379,0.000311379,0.000311379
81,4215.82,0.71733,0.6734,0.99193,0.9501,0.95198,0.98407,0.82993,0.54719,0.57801,0.87421,0.000297232,0.000297232,0.000297232
